"","","","","","","","","","","","","","","","","","","","習慣化","楽しく勉強","兄弟姉妹","ベビークモン","先生に感謝","本が好き","プリント","計算力UP","やっててよかった","自主的","やる気","友だち","集中力UP","TOEFL","自信がつく","試験に役立つ","自分のペース","基礎力","無料体験学習","リスニング","英検","スポーツと両立","読解力","歌が好きに","仕事に役立つ","考える力","コミュニケーション","留学","音読","E-pencil","医師","ネイティブ","理系大学","志望校合格","暗算","経営者（経営学）","就職"
"263","-","１２月、１歳を迎えた娘は本当に色んなことを吸収してくれました。Baby Kumonの存在がこんなに成長のお手伝いをしてくれるとは・・・。これから幼稚園、小学校と進んでいくうえで欠かせない教材だと思っております。聞く力見る力興味を示す事、感受性、協調性、この一年で私が感じることが出来たわが子の『力』です。一年前保育器に入ってた我が子とは思えないくらいの成長ぶりです。","/assets/images/photo_cp/data/modalB_33.jpg","/assets/images/photo_cp/data/thumbB_33.jpg","-","はな さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"264","-","今まで、本を読まない子だったのが、公文を始めてから、教材の続きを読みたい！と、本を欲しがる。ものすごい変化です。そして、いつでもどこでも、計画をたてて、毎日勉強してる。この日は、なぜかゴミ箱の上(笑)(((^_^;)3教科、J教材目指して頑張ってます！！","/assets/images/photo_cp/data/modalB_35.jpg","/assets/images/photo_cp/data/thumbB_35.jpg","-","しんでぃ さん","-","","","","","","","","","〇","〇","〇","〇","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"265","-","食べながらお勉強(笑)おいしいくもんだね。","/assets/images/photo_cp/data/modalB_36.jpg","/assets/images/photo_cp/data/thumbB_36.jpg","-","くろちゃん さん","-","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"266","-","くもんを始めて漢字が好きになり将来は漢字博士になるんだと言っています(笑)","/assets/images/photo_cp/data/modalB_37.jpg","/assets/images/photo_cp/data/thumbB_37.jpg","-","ひなた さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"267","-","公文を始めてもうすぐ2年になるかなちゃんです。バッグから宿題を出して1人でも出来るようになってきました♡♡これからも頑張ってね！","/assets/images/photo_cp/data/modalB_38.jpg","/assets/images/photo_cp/data/thumbB_38.jpg","-","かなちゃんママ さん","-","","","","","","","","","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"268","-","公文でできない箇所があると、悔し泣きをしながら頑張るムスコ。でも、やめたいとは絶対に言わないムスコ。問題ができた時の達成感を感じているようです。","/assets/images/photo_cp/data/modalB_39.jpg","/assets/images/photo_cp/data/thumbB_39.jpg","-","たいっち さん","-","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269","-","くもんを頑張りすぎたのでしょうか？いつの間にか寝てしまっていた息子です。寝顔があまりにかわいかったので、布団に寝かせる前に一枚撮りました。お兄ちゃんの真似をして始めたくもんですが、弟は弟なりにがんばっています。","/assets/images/photo_cp/data/modalB_40.jpg","/assets/images/photo_cp/data/thumbB_40.jpg","-","おにママ さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270","-","自分がやりたいこと(遊びやお菓子)をみつけるととりあえず「プリントをする！」とプリントを始めます。きっかけは何であれ、がんばることは大事！がんばれよ！","/assets/images/photo_cp/data/modalB_41.jpg","/assets/images/photo_cp/data/thumbB_41.jpg","-","あいちむ さん","-","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"271","-","生後5ヶ月からお世話になっております。絵本に触れるきっかけを作っていただきました。最初は色や紙に興味を示す程度だったのですが、この年末で１歳を迎え成果が見えてきました。自分の訴えをどうにかして伝えようとする姿は、絵本・やりとりぶっく・カードで学んできた成果だと思っております。私も小学生から公文をやっていたので、教材の良さを噛みしめており、娘の入会は即決でした。","/assets/images/photo_cp/data/modalB_42.jpg","/assets/images/photo_cp/data/thumbB_42.jpg","-","はな さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272","-","Baby Kumonから始めた、くもん。楽しく勉強する時もあれば、泣いて「教材解きたくない。」と言う時もありました。今では、くもんは日常の光景になりました。「わかるってうれしいね。」と言う我が子。これからもがんばってね。","/assets/images/photo_cp/data/modalB_43.jpg","/assets/images/photo_cp/data/thumbB_43.jpg","-","りょうくんママ さん","-","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"273","-","なかなか理解ができなくて、くやしくて泣きながら取り組むムスコ。でも、絶対にやめたいとは言わないムスコ。泣いたあとには、スラスラとけるようになることがわかっているムスコ。泣いた分だけ、自信につながっています。","/assets/images/photo_cp/data/modalB_44.jpg","/assets/images/photo_cp/data/thumbB_44.jpg","-","おっきー さん","-","","","","","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","",""
"274","-","最初は行くのを嫌がっていた「くもん」今では、月曜日と木曜日が楽しみな様子。宿題がなくなってしまうと何か物足りないのか「もうないの？」と（笑）段々読み書きが出来るようになってきたのでお風呂でも鏡に書いて、問題出して！と言っています。これからは、英語にも挑戦する予定なので頑張って欲しいです。","/assets/images/photo_cp/data/modalB_46.jpg","/assets/images/photo_cp/data/thumbB_46.jpg","-","かいたん さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"275","-","年長から始めたくもん、6000枚突破！背の高さにのびるくもんタワーを目指していますが、まだまだだ･･･。算数は２年でトロフィーゲットできたので、今年も三学年先目指して頑張っています！春からはお兄ちゃんに影響された弟も仲間入りしてがんばります！","/assets/images/photo_cp/data/modalB_47.jpg","/assets/images/photo_cp/data/thumbB_47.jpg","-","しゅう☆ さん","-","","","","","","","","","〇","","","","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"276","-","遊び疲れていても、公文に取り組む頑張り屋さん。3教科目で力つきたかな?子守歌は、E-Pencil.","/assets/images/photo_cp/data/modalB_48.jpg","/assets/images/photo_cp/data/thumbB_48.jpg","-","マナキン・スカイウォーカー さん","-","","","","","","","","","〇","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","",""
"277","-","子供はご機嫌に公文を楽しんでいます(*^^*)","/assets/images/photo_cp/data/modalB_49.jpg","/assets/images/photo_cp/data/thumbB_49.jpg","-","新米ばあば さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"278","-","宿題で行き詰まる時もあるけれど、頑張っている娘を誰よりも応援しています。やっててよかった！と言える日が楽しみです。","/assets/images/photo_cp/data/modalB_50.jpg","/assets/images/photo_cp/data/thumbB_50.jpg","-","Linamama さん","-","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"279","-","風邪ひきの合間に頑張る^_^","/assets/images/photo_cp/data/modalB_51.jpg","/assets/images/photo_cp/data/thumbB_51.jpg","-","ゆうたろう さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"280","-","４歳の長女(左)と２歳の次女(右)は姉妹の存在がお互い刺激になり、それぞれのレベルに合った教材を集中してやっています！継続は力なり！これからも一緒に長くがんばろうね。","/assets/images/photo_cp/data/modalB_52.jpg","/assets/images/photo_cp/data/thumbB_52.jpg","-","みーみー さん","-","〇","〇","","","","","","","","","","","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","",""
"281","-","野球の日の早朝、気付くと少しの時間を使って公文の宿題をやっていました。毎日計画的に宿題をやる事を覚えてくれたようです。諦めずに宿題を頑張る君たちをママはいつまでも応援するよ！！","/assets/images/photo_cp/data/modalB_53.jpg","/assets/images/photo_cp/data/thumbB_53.jpg","-","ぷら さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","",""
"282","-","わたしも、小学校のころにくもんに通っていました。自分のペースで集中して取り組めることが自分に合っていて、分からないところは理解できるまでしっかりと教えて下さったことを覚えています。子どもにも、自分のペースでしっかりと身に付く学習をして欲しいと思っていましたが、くもんに通いたいと子どもから話がありました。体験学習から始めてもうすぐ2年。無理せず向かっていければいいなと見守っています。","/assets/images/photo_cp/data/modalC_1.jpg","/assets/images/photo_cp/data/thumbC_1.jpg","-","ももんが さん","-","","","〇","","","","","〇","","","","","","","","","","","","","","","","〇","","","","〇","","","","","","","","","","","","","","","","","","","",""
"283","-","Baby Kumonをしていますが、絵本を読んであげるとジッと絵を見つめています。「あけてあけて」では箱をタッチしてくれます。","/assets/images/photo_cp/data/modalC_2.jpg","/assets/images/photo_cp/data/thumbC_2.jpg","-","かこ さん","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"284","-","7歳と4歳の姉弟です。私にも３つ歳下の弟がいて、姉弟で公文に通っていました。泣きながらしたことも、最近ではよく思い出します。今では私も通わせてくれた母に感謝しています。子どもたちにも「やっててよかった！」が来るのはもう、すぐ(^o^)","/assets/images/photo_cp/data/modalC_3.jpg","/assets/images/photo_cp/data/thumbC_3.jpg","-","くるこた さん","-","","〇","〇","〇","","","","〇","","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"285","-","小さいリュックから、年中さんになり大きいカバンを頂いてうれしくて自分で肩に掛け意気揚々と通い始めた頃(*^^*)応援してるよ！","/assets/images/photo_cp/data2/modalA_2.jpg","/assets/images/photo_cp/data2/thumbA_2.jpg","-","ひとえ さん","-","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"286","-","くもんへ行く間際にバタバタする私に「ママ早く～先生待ってるよ～！」と、玄関で準備万端の娘に毎回、急かされています(笑)これからも親子で楽しみながら成長していこうね！","/assets/images/photo_cp/data2/modalA_3.jpg","/assets/images/photo_cp/data2/thumbA_3.jpg","-","おもち さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"287","-","お姉ちゃんと一緒に、くもんの教室へ向かって自転車で行っているところです。年少さんで、国語をしていて、ひらがなが読めるようになって、楽しくてしょうがないこの頃。ひらがなを見つけると本や新聞、看板の文字を読んでくれるようになりました。今は、ことわざかるたに夢中です。","/assets/images/photo_cp/data2/modalA_4.jpg","/assets/images/photo_cp/data2/thumbA_4.jpg","-","しゅん さん","-","","〇","","","","","","","","","〇","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"288","-","四人で仲良くくもんに通っています！四人で楽しそうにくもんへ向かう後ろ姿を見ていると、ママも一緒に行きたくなるよ！","/assets/images/photo_cp/data2/modalA_5.jpg","/assets/images/photo_cp/data2/thumbA_5.jpg","-","1008６兄弟 さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"289","-","やっとKUMONの日がやってきた！とはりきりながら教室へ向かう娘。","/assets/images/photo_cp/data2/modalA_6.jpg","/assets/images/photo_cp/data2/thumbA_6.jpg","-","komorebi さん","-","","","","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290","-","くもん、大好き！いつも、幼稚園の帰りに行きます。お迎えに行くと、楽しかった～！って帰ってきます。なにより、娘が楽しそうに行ってくれるのが一番です！","/assets/images/photo_cp/data2/modalA_7.jpg","/assets/images/photo_cp/data2/thumbA_7.jpg","-","かほきほ さん","-","","〇","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"291","-","昼寝中に「くもん行こう」と話しかけると飛び起き、玄関まで走って行きます。そして今日もくもんいくもん♪","/assets/images/photo_cp/data2/modalA_8.jpg","/assets/images/photo_cp/data2/thumbA_8.jpg","-","すぬく さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292","-","一年生から公文に通い始めた娘。ひらがなや算数が苦手でしたが、公文に通い始めたとたん、どんどん出来るようになり、学校の先生にも驚かれたほど！毎日の宿題がとても大きな自信に繋がっています。これからも娘が楽しく続けられるように応援しています！","/assets/images/photo_cp/data2/modalA_9.jpg","/assets/images/photo_cp/data2/thumbA_9.jpg","-","キラキラ青空 さん","-","","","","","","","","","〇","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","",""
"293","-","公文で異年齢のお友だちも沢山できて楽しく通ってます","/assets/images/photo_cp/data2/modalA_10.jpg","/assets/images/photo_cp/data2/thumbA_10.jpg","-","ゆず さん","-","","","","","","","","","","","","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","",""
"294","-","はやく兄弟で通えると良いね","/assets/images/photo_cp/data2/modalA_11.jpg","/assets/images/photo_cp/data2/thumbA_11.jpg","-","ひでくんママ さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"295","-","香港に転勤になりましたが、日本で始めたＫＵＭＯＮを香港でも通っています。 引っ越ししても、ＫＵＭＯＮは世界共通だから、また通えるのは親として心強いです。 香港の子供達も公文バッグを持っているのを良く見掛けますよ。","/assets/images/photo_cp/data2/modalA_12.jpg","/assets/images/photo_cp/data2/thumbA_12.jpg","-","Kitap さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"296","-","公文に通い始めたばかりだから、まだ宿題に集中できない時もあるけど教室に通うのはいつも楽しそうだね。ひらがなを読めるように一緒に頑張ろうね。","/assets/images/photo_cp/data2/modalA_13.jpg","/assets/images/photo_cp/data2/thumbA_13.jpg","-","ちーの さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"297","-","３歳の頃の写真です。「お勉強」というよりも、先生とのお話を楽しみに通っていました。挨拶ができたり、教室では騒がない、上級生から数字を教えてもらったり、遠くから眺めていてほのぼのする光景でした。これからも、お兄さん達と一緒に机に向かい、終わってからの軽快な鬼ごっこ、公文を通して色んな経験をしてほしいです。","/assets/images/photo_cp/data2/modalA_15.jpg","/assets/images/photo_cp/data2/thumbA_15.jpg","-","さくちゃん さん","-","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"298","-","1ヶ月前から公文に行き始めた娘。最近1人で行けるようになり、その成長に嬉しくもあり寂しくもありますが、楽しくお勉強している娘を応援していきたいです。","/assets/images/photo_cp/data2/modalA_16.jpg","/assets/images/photo_cp/data2/thumbA_16.jpg","-","初めて公文 さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"299","-","姉妹2人で仲良く行くところです。毎日、プリントが終わるとスッキリした顔をしてます。毎日、一緒に頑張ろうね♪","/assets/images/photo_cp/data2/modalA_17.jpg","/assets/images/photo_cp/data2/thumbA_17.jpg","-","うらこ さん","-","","","","","","","","","","","","","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"300","-","今年の初雪が降った日も頑張って、公文に♪今は、かけ算の九九を頑張って暗記中です！","/assets/images/photo_cp/data2/modalA_18.jpg","/assets/images/photo_cp/data2/thumbA_18.jpg","-","nonrara さん","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","〇","",""
"301","-","まだまだ送迎が必要な5歳のお姉ちゃん。産まれたばかりの妹もくもん教室までお付き合い。「おねえちゃんだから、ママのおてつだいするよ！」","/assets/images/photo_cp/data2/modalA_19.jpg","/assets/images/photo_cp/data2/thumbA_19.jpg","-","ひなママ さん","-","","〇","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"302","-","平日はいつも保育園から帰ってくるとすぐに公文タイムスタートです。合言葉は『笑顔&ピース』。難しい問題や時には睡魔に襲われますが、そんな時は『笑顔&ピース！』と声をかけ合いながら頑張っています。","/assets/images/photo_cp/data2/modalB_1.jpg","/assets/images/photo_cp/data2/thumbB_1.jpg","-","すずり さん","-","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"303","-","何度もスランプを通ったけど、その分プリントに向かう姿勢がきちんとついて、集中力もついてきました☆この調子で頑張ろうね!!","/assets/images/photo_cp/data2/modalB_3.jpg","/assets/images/photo_cp/data2/thumbB_3.jpg","-","藤波 さん","-","","","","","","","","","","","","","","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","",""
"304","-","毎年撮っている一年間頑張って取り組んだプリントとの記念写真☆今年はどのぐらいになったかな～今から楽しみです！","/assets/images/photo_cp/data2/modalB_4.jpg","/assets/images/photo_cp/data2/thumbB_4.jpg","-","みーママ さん","-","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"305","-","はじめは、上手にボールを入れられなかったのに、今では両手でポンポン！ただボールを入れるだけでなく斜めにしてみたり、上から覗きこんだり、学習しながら楽しく遊んでいます。","/assets/images/photo_cp/data2/modalB_5.jpg","/assets/images/photo_cp/data2/thumbB_5.jpg","-","えみえみ さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306","-","生後３か月からくもんを始めていて今は4歳。くもんが生活の一部に定着していて自分から進んでプリントを出してきて毎日取り組んでいます☆ くもんのえんぴつも毎日の学習でこんなに小さくなりました！","/assets/images/photo_cp/data2/modalB_6.jpg","/assets/images/photo_cp/data2/thumbB_6.jpg","-","みーママ さん","-","","〇","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"307","-","最近は、宿題も頑張ってやるようになってるね‼これからも毎日コツコツお兄ちゃんと一緒に頑張ってね\r","/assets/images/photo_cp/data2/modalB_7.jpg","/assets/images/photo_cp/data2/thumbB_7.jpg","-","こーのー さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"308","-","ある日仕事から帰るとこうなっていました。それでも１人でちゃんとプリントをしようとしていたこの姿に愛おしさを感じずにいられませんでした。眠い日もある。でも、毎日欠かさず真剣に取り組む時間を持つことが習慣になって、本当に良かったと母は思います。いつかどこかでこの積み重ねが実を結びますように。","/assets/images/photo_cp/data2/modalB_8.jpg","/assets/images/photo_cp/data2/thumbB_8.jpg","-","wtbk さん","-","","","","","","","","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"309","-","もうすぐ、通いはじめて一年。先生のサポートを受けて頑張ってます。これからも一緒にがんばろうね！","/assets/images/photo_cp/data2/modalB_9.jpg","/assets/images/photo_cp/data2/thumbB_9.jpg","-","cee さん","-","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"310","-","なかなか記録が残せない二人目。成長の記録を残せればとBaby Kumonを始めました。長女より本に興味がなかったのに、くろくまくんの本はお気に入りみたいです。","/assets/images/photo_cp/data2/modalB_10.jpg","/assets/images/photo_cp/data2/thumbB_10.jpg","-","mitsuketa さん","-","〇","","","","","","","","","","","","","〇","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"311","-","Baby Kumon から始めたりょうくん。今でも、ズンズンは大好きです。３教科も、頑張っています。「できた！」が嬉しいようです。「先生にほめられたんだよ。」と楽しく通っています。","/assets/images/photo_cp/data2/modalB_11.jpg","/assets/images/photo_cp/data2/thumbB_11.jpg","-","りょうくんママ さん","-","","","","","","","","","〇","〇","〇","","〇","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"312","-","今まで学習した教材をまとめていたら、「これかんた〜ん♪」「こんなに算数やったんだね！」と見返し出した娘。その時は難しくて大変だったのにね。学習したプリントを、大人になるまで残してあげようと思います。","/assets/images/photo_cp/data2/modalB_12.jpg","/assets/images/photo_cp/data2/thumbB_12.jpg","-","なっつん さん","-","","","","","","","","","〇","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"313","-","カードをひらく。カードをみる。カードをめくる。寝る前の風景です。Baby Kumonに通いはじめて１年２ヶ月になりました。","/assets/images/photo_cp/data2/modalB_13.jpg","/assets/images/photo_cp/data2/thumbB_13.jpg","-","AsaYou さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"314","-","Baby Kumon から続けている公文。ズンズンは、今でも大好きです。３教科も頑張っています。「できた。」が嬉しいようです。","/assets/images/photo_cp/data2/modalB_14.jpg","/assets/images/photo_cp/data2/thumbB_14.jpg","-","りょうくんママ さん","-","","","","","","","","","〇","〇","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"315","-","公文の英語いつも頑張ってるね！少しずつ難しくなって来てるみたいだけど、これからも楽しく勉強してね！","/assets/images/photo_cp/data2/modalB_15.jpg","/assets/images/photo_cp/data2/thumbB_15.jpg","-","ひっと さん","-","","","","","","","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"316","-","真剣に取り組む視線に成長を感じ、今では英語をSTARTして、日常の些細な会話でも英語をまぜながら話すのが楽しいよ♪一緒に勉強して、一緒に成長しようね。","/assets/images/photo_cp/data2/modalB_16.jpg","/assets/images/photo_cp/data2/thumbB_16.jpg","-","Ray さん","-","","","","","","","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"317","-","私の手が空かないときは、お姉ちゃんが教えてくれています。どちらかが取りかかると、「今日はやる気がないなぁ」と思っていた方も自然とやり始めます。ひとりひとりに合わせて進んでいくところがいいですね。","/assets/images/photo_cp/data2/modalB_17.jpg","/assets/images/photo_cp/data2/thumbB_17.jpg","-","くるこた さん","-","","","","","","","","","","","","","","〇","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"318","-","1歳8ヶ月にBaby Kumonデビューしました♪歌を口ずさんだり踊ったり、自分から、やりとりブックや絵本を読んで〜っと持ってきて親子で楽しんでます♪もうすぐ、お兄ちゃんになります♪","/assets/images/photo_cp/data2/modalB_18.jpg","/assets/images/photo_cp/data2/thumbB_18.jpg","-","みちゅき♪ さん","-","〇","","","","","","","","","","","","","","〇","","〇","","","","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","",""
"319","-","お兄ちゃんをみならいながら少しずつですが、がんばっています。","/assets/images/photo_cp/data2/modalB_19.jpg","/assets/images/photo_cp/data2/thumbB_19.jpg","-","ことみ さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"320","-","園が終わった後おうちに帰るとKumonやるって言って、自分から宿題を出して、出来たらママ―できたよ！って呼んでくれて、自分から積極的に凄く頑張ってお勉強してます♡","/assets/images/photo_cp/data2/modalB_20.jpg","/assets/images/photo_cp/data2/thumbB_20.jpg","-","お嬢ゆず さん","-","","〇","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"321","-","これからたくさんたくさん本をよもうね！","/assets/images/photo_cp/data2/modalB_21.jpg","/assets/images/photo_cp/data2/thumbB_21.jpg","-","rintaro さん","-","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"322","-","Baby Kumonの絵本で、スプーンがたくさん集まって協力して高い木になっている桃をとるというページ。自分のおもちゃの人形をたくさん持ってきて、スプーン達のお手伝いをさせたようです。その発想が可愛くてママはつい写真を撮りました。今教材に集中する姿はこの絵本の頃から身についたのかな。","/assets/images/photo_cp/data2/modalB_22.jpg","/assets/images/photo_cp/data2/thumbB_22.jpg","-","たっくんママ さん","-","","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323","-","Baby Kumonが終了して、姉２人も通っているので自分もやりたいと言っているので、公文に通う事にしました！教室で、なかなかスムーズに出来ませんが、宿題はしっかりやってます(笑)少しずつ教室でも出来るようになるといいな!!","/assets/images/photo_cp/data2/modalB_23.jpg","/assets/images/photo_cp/data2/thumbB_23.jpg","-","よっしー さん","-","","","","","","","","","","","","","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324","-","一歳から一年間頑張り、平仮名かけるようになり、足し算導入まで二歳でいけました。親子でがんばった学習を目で感じた公文タワー。","/assets/images/photo_cp/data2/modalB_24.jpg","/assets/images/photo_cp/data2/thumbB_24.jpg","-","やまちゃん さん","-","〇","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"325","-","毎日いやいや言いながらもいざとなればささっとできるのが、すごいなと思います。","/assets/images/photo_cp/data2/modalB_25.jpg","/assets/images/photo_cp/data2/thumbB_25.jpg","-","ゆうき さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"326","-","毎日、宿題に取り組むことが習慣になってきましたが…やっぱりまだ3歳(^_^;;)これからも楽しく元気に頑張ろうね☆","/assets/images/photo_cp/data2/modalB_26.jpg","/assets/images/photo_cp/data2/thumbB_26.jpg","-","はなはなえ さん","-","〇","","","","","","","","","","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"327","-","毎日宿題は？？と聞いて、自分から頑張る姿に感動するママです！少しずつ出来る事が増えていくのが嬉しいのは、子供だけでなく両親も同じですね〜","/assets/images/photo_cp/data2/modalB_27.jpg","/assets/images/photo_cp/data2/thumbB_27.jpg","-","ソイラテ さん","-","","","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"328","-","お姉ちゃんをおいかけて、Baby Kumonを始めた本が大好きな妹ちゃん。妹が産まれる前からくもんに通って、本もすっかりすらすら読めるようになったお姉ちゃん。Baby Kumonの絵本を読んであげる、寝る前のひと時です。","/assets/images/photo_cp/data2/modalB_28.jpg","/assets/images/photo_cp/data2/thumbB_28.jpg","-","ひなママ さん","-","〇","","","","","","","","","","","","","〇","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"329","-","おにいちゃんせんせい、だいすき☆★","/assets/images/photo_cp/data2/modalB_29.jpg","/assets/images/photo_cp/data2/thumbB_29.jpg","-","あおあきママちん さん","-","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"330","-","Baby Kumonを始めてからどんどん成長していますね。読み聞かせをしている時の反応が楽しくて、お母さんも絵本を読むのが楽しいです。これからもいろんな絵本に出逢えるといいね。","/assets/images/photo_cp/data2/modalB_30.jpg","/assets/images/photo_cp/data2/thumbB_30.jpg","-","ちーぼー さん","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"331","-","毎日、朝と幼稚園から帰って、頑張ってます。宿題を泣きながらでもやりきって、素敵です。ママも頑張ります。","/assets/images/photo_cp/data2/modalB_31.jpg","/assets/images/photo_cp/data2/thumbB_31.jpg","-","ともや さん","-","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
